number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
59,0.8793103448275862,2023-04-10 00:10:11.251357,2023-04-10 00:11:23.192305,0 days 00:01:11.940948,58,91,5,0.2147893719129189,4.525723494348737e-05,3,1,1,380,,,Adam,COMPLETE
119,0.8786488740617181,2023-04-10 01:01:57.688230,2023-04-10 01:02:46.852954,0 days 00:00:49.164724,109,79,5,0.14635495926423236,0.002690674215980016,2,0,2,331,382.0,,SGD,COMPLETE
0,0.8781074578989575,2023-04-09 23:15:39.613890,2023-04-09 23:17:23.647305,0 days 00:01:44.033415,43,30,10,0.1819027312202544,0.07888620486750411,3,3,2,96,56.0,,SGD,COMPLETE
19,0.8780687397708674,2023-04-09 23:35:05.589724,2023-04-09 23:36:05.428118,0 days 00:00:59.838394,94,81,11,0.363760738245435,0.0006702583200822639,1,2,3,144,363.0,52.0,Adam,COMPLETE
80,0.877085877085877,2023-04-10 00:28:40.017067,2023-04-10 00:29:29.983985,0 days 00:00:49.966918,117,69,3,0.1424708757259312,0.0005233734161812059,2,1,2,267,332.0,,Adam,COMPLETE
122,0.87468671679198,2023-04-10 01:04:27.659849,2023-04-10 01:05:20.897227,0 days 00:00:53.237378,114,90,3,0.16385887928048543,1.456903627945043e-05,2,0,2,325,400.0,,Adam,COMPLETE
120,0.8737824675324676,2023-04-10 01:02:46.855388,2023-04-10 01:03:38.022549,0 days 00:00:51.167161,112,77,5,0.4981446076937744,0.0034247233366033873,2,0,2,307,157.0,,Adam,COMPLETE
38,0.8707037643207856,2023-04-09 23:52:36.824570,2023-04-09 23:53:34.447956,0 days 00:00:57.623386,94,29,5,0.1618357953901595,0.012979864878284201,3,1,2,335,247.0,,SGD,COMPLETE
87,0.8701668701668702,2023-04-10 00:34:31.404769,2023-04-10 00:35:22.331564,0 days 00:00:50.926795,117,76,7,0.45832016432545597,0.00011196662046188865,2,0,2,261,126.0,,Adam,COMPLETE
3,0.8671497584541062,2023-04-09 23:19:24.797922,2023-04-09 23:20:31.961767,0 days 00:01:07.163845,54,55,3,0.44782594990054403,0.03032686213375363,3,0,1,279,,,Adam,COMPLETE
12,0.8665289256198347,2023-04-09 23:28:30.681062,2023-04-09 23:29:25.889622,0 days 00:00:55.208560,121,41,13,0.2609830938911185,0.0001243091487898132,2,2,3,388,397.0,388.0,Adam,COMPLETE
29,0.8643298969072165,2023-04-09 23:45:09.640467,2023-04-09 23:45:54.461888,0 days 00:00:44.821421,97,33,6,0.19920795890791146,0.0019469763987165064,2,0,2,240,342.0,,SGD,COMPLETE
99,0.8609022556390977,2023-04-10 00:44:41.174892,2023-04-10 00:45:27.757961,0 days 00:00:46.583069,114,47,3,0.10841020036820832,0.001562192565921129,2,0,2,220,389.0,,SGD,COMPLETE
17,0.8601485148514851,2023-04-09 23:33:12.133956,2023-04-09 23:34:19.027124,0 days 00:01:06.893168,101,63,5,0.2713499028551972,0.00034629401014327985,2,2,3,239,222.0,202.0,Adam,COMPLETE
7,0.8533653846153846,2023-04-09 23:23:16.429472,2023-04-09 23:24:34.177308,0 days 00:01:17.747836,52,77,5,0.34180221116298015,0.0013924660188625875,1,3,2,260,148.0,,Adam,COMPLETE
20,0.8480753480753481,2023-04-09 23:36:05.434370,2023-04-09 23:37:07.071354,0 days 00:01:01.636984,66,62,5,0.14569816762672844,2.348281356821878e-05,1,1,3,214,193.0,268.0,Adam,COMPLETE
4,0.8347826086956521,2023-04-09 23:20:31.964402,2023-04-09 23:21:19.839804,0 days 00:00:47.875402,105,70,9,0.42853559744038716,0.02354428377201657,3,1,2,177,90.0,,SGD,COMPLETE
86,0.815,2023-04-10 00:33:42.204597,2023-04-10 00:34:31.401155,0 days 00:00:49.196558,120,54,4,0.13156351604441624,0.00045868415654457266,2,0,2,327,400.0,,SGD,COMPLETE
5,0.7942148760330578,2023-04-09 23:21:19.842504,2023-04-09 23:22:16.121092,0 days 00:00:56.278588,121,54,9,0.32448515643421705,0.025217632194950625,2,3,3,322,88.0,310.0,Adam,COMPLETE
6,0.7693877551020408,2023-04-09 23:22:16.123711,2023-04-09 23:23:16.426158,0 days 00:01:00.302447,70,21,12,0.4251004731079263,0.010469387584974243,3,3,2,335,115.0,,SGD,COMPLETE
58,0.758592132505176,2023-04-10 00:09:22.315006,2023-04-10 00:10:11.247862,0 days 00:00:48.932856,115,71,11,0.3113528291529064,0.00026197417900280303,2,0,2,351,380.0,,SGD,COMPLETE
8,0.7291666666666666,2023-04-09 23:24:34.183274,2023-04-09 23:25:50.019665,0 days 00:01:15.836391,52,72,13,0.47771068135584327,0.0643469608423079,2,3,2,186,168.0,,Adam,COMPLETE
69,0.6814049586776859,2023-04-10 00:18:58.386222,2023-04-10 00:19:45.850701,0 days 00:00:47.464479,121,69,9,0.18339271955918596,7.399785763750332e-05,2,0,2,266,349.0,,SGD,COMPLETE
18,0.5995085995085995,2023-04-09 23:34:19.030083,2023-04-09 23:35:05.586287,0 days 00:00:46.556204,111,95,8,0.10458221146010804,9.145686178713461e-05,2,1,3,287,225.0,200.0,SGD,COMPLETE
10,0.3871753246753247,2023-04-09 23:26:42.745271,2023-04-09 23:27:33.104556,0 days 00:00:50.359285,88,94,16,0.12470261392269777,1.0208046649466145e-05,1,2,1,53,,,SGD,COMPLETE
26,0.1908831908831909,2023-04-09 23:42:31.801659,2023-04-09 23:43:22.469233,0 days 00:00:50.667574,91,44,8,0.23196894028729706,6.655664550371052e-05,1,2,3,155,207.0,161.0,SGD,COMPLETE
