optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,64.0,0.001,Elastic,0.01,0.001,0.0,0.919303834438324,0.7521204590797425,0.9508397579193115,0.54304493421858,140.393
Adam,64.0,0.001,Elastic,0.001,0.001,0.0,0.9145569801330566,0.39635154604911804,0.9503229856491089,0.27232686424058333,141.548
Adam,256.0,0.001,L1,0.0,0.001,0.0,0.9129747152328491,0.4308873216311137,0.970994770526886,0.21571997931746187,123.542
Adam,32.0,0.001,Elastic,0.001,0.001,0.0,0.9098101258277893,0.31771770492196083,0.9401808381080627,0.2991361217958129,153.187
Adam,256.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.9098101258277893,0.7494436105092367,0.9559431076049805,0.5906512336652787,122.313
Adam,256.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.9082278609275818,0.5016539792219797,0.9552971124649048,0.30479956015211634,115.334
Adam,32.0,0.001,L1,0.0,0.001,0.0,0.9003164768218994,0.3482835412025452,0.9358526468276978,0.27548465502933284,145.89
Adam,128.0,0.001,L1,0.0,0.001,0.0,0.8987342119216919,0.46388025879859923,0.957041323184967,0.22904362043073354,130.251
Adam,32.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.8971519470214844,0.3448945350944996,0.9249999523162842,0.35169750896921337,152.725
Adam,128.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.8892405033111572,0.4958348095417023,0.9514211416244507,0.29379409268375273,126.577
Adam,32.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.8876582384109497,0.6243114739656448,0.9282299280166626,0.6576529478361784,156.457
Adam,128.0,0.001,Elastic,0.01,0.001,0.0,0.8876582384109497,0.8251850128173828,0.9625968337059021,0.5297804950189985,130.141
Adam,128.0,0.001,L1-Dropout,0.0,0.001,0.3,0.8797468543052673,0.4898618280887604,0.943733811378479,0.27999285023567105,128.304
Adam,64.0,0.001,L1,0.0,0.001,0.0,0.8765823245048523,0.5001846790313721,0.9444444179534912,0.2525333722452979,134.876
Adam,256.0,0.001,Elastic,0.001,0.001,0.0,0.8765823245048523,0.5767854253451029,0.9710593819618225,0.2380018512733647,121.258
Adam,128.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.8734177350997925,1.0853217840194702,0.9498061537742615,0.6206791285148336,126.03
Adam,64.0,0.001,L1-Dropout,0.0,0.001,0.3,0.871835470199585,0.45547575652599337,0.9325581192970276,0.29900456336904163,136.894
Adam,256.0,0.001,L1-Dropout,0.0,0.001,0.3,0.8639240860939026,0.6734160979588827,0.9538759589195251,0.2825852398012505,121.927
Adam,64.0,0.001,L1-Dropout,0.0,0.01,0.3,0.8481012582778931,1.029849350452423,0.8102067112922668,0.9567330504251905,138.3
Adam,128.0,0.001,Elastic,0.001,0.001,0.0,0.8465189933776855,0.5511040687561035,0.9647932648658752,0.23495846568060316,129.722
Adam,64.0,0.001,Elastic,0.001,0.01,0.0,0.8132911324501038,0.8409267246723175,0.8631136417388916,0.8230444631300682,148.413
Adam,32.0,0.001,L1,0.0,0.01,0.0,0.8085443377494812,0.7817302599549294,0.8204780220985413,0.8749061069212669,146.716
Adam,32.0,0.001,Elastic,0.001,0.01,0.0,0.8085443377494812,1.0735430508852004,0.8090438842773438,0.9600030332803726,151.585
Adam,128.0,0.001,Elastic,0.001,0.01,0.0,0.8085443377494812,1.1950979948043823,0.8553617000579834,0.8923273234327963,127.308
Adam,64.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.8053797483444214,1.2723856568336487,0.8174418210983276,0.9798190973021768,142.921
Adam,256.0,0.001,L1-Dropout,0.0,0.01,0.3,0.7879747152328491,1.6095918416976929,0.8355942964553833,1.1110694134821657,123.608
