optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,64.0,0.01,L1-Dropout,0.0,0.001,0.3,0.9320000410079956,0.24224817473441362,0.8262500166893005,0.5502511862110584,21.69
Adam,128.0,0.01,L2,0.01,0.0,0.0,0.9320000410079956,0.30948497727513313,0.9541666507720947,0.23581773121940328,18.833
Adam,32.0,0.01,Elastic,0.001,0.001,0.0,0.9300000667572021,0.2336464854888618,0.934166669845581,0.23341807947556178,32.337
Adam,32.0,0.01,L2,0.01,0.0,0.0,0.9300000667572021,0.31284420285373926,0.9198333024978638,0.34963650691509246,27.925
Adam,256.0,0.01,L2-Dropout,0.01,0.0,0.3,0.9300000667572021,0.33973006904125214,0.8824166655540466,0.46632992904236975,14.713
SGD,128.0,0.01,Elastic,0.01,0.001,0.0,0.9300000667572021,0.3740570917725563,0.9421666860580444,0.3837811287413252,18.011
SGD,128.0,0.01,L2,0.01,0.0,0.0,0.9300000667572021,0.39450420439243317,0.9318333268165588,0.43195529916185016,17.056
Adam,32.0,0.01,L1,0.0,0.001,0.0,0.9280000329017639,0.22836115886457264,0.9389166831970215,0.20146067270139853,26.975
Adam,128.0,0.01,L1-Dropout,0.0,0.001,0.3,0.9280000329017639,0.2430526427924633,0.8529166579246521,0.47763418707441774,17.215
SGD,128.0,0.01,No Regularization,0.0,0.0,0.0,0.9280000329017639,0.3362409695982933,0.9384999871253967,0.340922364053574,15.109
SGD,256.0,0.01,L1,0.0,0.01,0.0,0.9280000329017639,0.49967342615127563,0.9174166321754456,0.5160305671235348,15.176
Adam,256.0,0.01,L1-Dropout,0.0,0.001,0.3,0.9260000586509705,0.23163030296564102,0.875249981880188,0.40706683283156536,15.775
Adam,128.0,0.01,Elastic,0.01,0.001,0.0,0.9260000586509705,0.3683328330516815,0.9434166550636292,0.2733849635783662,16.764
SGD,32.0,0.01,L2-Dropout,0.001,0.0,0.3,0.9240000247955322,0.27938282676041126,0.8534166812896729,0.5225164638360341,23.965
SGD,32.0,0.01,L1,0.0,0.01,0.0,0.9240000247955322,0.3544993782415986,0.9049166440963745,0.40616409476598103,23.045
SGD,32.0,0.01,L1-Dropout,0.0,0.001,0.3,0.9220000505447388,0.2757313586771488,0.8566666841506958,0.5062538709243138,29.28
SGD,256.0,0.01,L1,0.0,0.001,0.0,0.9220000505447388,0.4785395562648773,0.9117500185966492,0.5164280812791053,15.332
SGD,32.0,0.01,Elastic,0.01,0.01,0.0,0.9200000166893005,0.6042819861322641,0.8974166512489319,0.5254599172274271,31.874
Adam,32.0,0.01,L1-Dropout,0.0,0.001,0.3,0.9160000681877136,0.3027340369299054,0.7833333015441895,0.6684238356351853,28.814
SGD,64.0,0.01,Elastic,0.001,0.01,0.0,0.9140000343322754,0.398649787530303,0.9151666760444641,0.4000093876681429,22.212
Adam,256.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.9140000343322754,0.4935333877801895,0.8484166860580444,0.5802698129035057,16.051
Adam,64.0,0.01,L1,0.0,0.001,0.0,0.9120000600814819,0.2543939212337136,0.9507499933242798,0.16329708880685428,23.093
Adam,128.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.9120000600814819,0.2707414925098419,0.8479166626930237,0.4892213870870306,17.742
SGD,32.0,0.01,L2-Dropout,0.01,0.0,0.3,0.9120000600814819,0.3849580939859152,0.8432499766349792,0.6201443515618642,27.751
Adam,64.0,0.01,L2,0.01,0.0,0.0,0.9100000262260437,0.3488187622278929,0.9351666569709778,0.2942126826085943,22.27
SGD,32.0,0.01,Dropout,0.0,0.0,0.3,0.9080000519752502,0.29674552846699953,0.8380833268165588,0.5444238540728887,20.438
Adam,256.0,0.01,L1,0.0,0.01,0.0,0.9080000519752502,0.41376033425331116,0.937333345413208,0.25802006556632673,14.38
Adam,64.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.906000018119812,0.31596364080905914,0.8151666522026062,0.5920691919770646,24.249
