number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
52,0.6720000505447388,2023-04-09 00:17:07.552648,2023-04-09 00:17:16.975082,0 days 00:00:09.422434,0.029,0.082,128,0.1,0.001,Adam,PRUNED
78,0.6460000276565552,2023-04-09 00:20:22.471530,2023-04-09 00:20:27.180288,0 days 00:00:04.708758,0.03,0.078,128,0.30000000000000004,0.001,Adam,PRUNED
84,0.6360000371932983,2023-04-09 00:21:10.482459,2023-04-09 00:21:20.295186,0 days 00:00:09.812727,0.066,0.067,64,0.1,0.001,Adam,PRUNED
20,0.6320000290870667,2023-04-09 00:11:56.991429,2023-04-09 00:12:26.013705,0 days 00:00:29.022276,0.07100000000000001,0.06,32,0.0,0.001,SGD,COMPLETE
42,0.6160000562667847,2023-04-09 00:15:43.024428,2023-04-09 00:16:07.941917,0 days 00:00:24.917489,0.03,0.084,128,0.4,0.001,Adam,COMPLETE
5,0.6140000224113464,2023-04-09 00:08:49.919068,2023-04-09 00:09:13.269644,0 days 00:00:23.350576,0.055,0.038,64,0.0,0.001,Adam,COMPLETE
73,0.6080000400543213,2023-04-09 00:19:55.077029,2023-04-09 00:19:59.955041,0 days 00:00:04.878012,0.019,0.023,32,0.0,0.01,SGD,PRUNED
68,0.6060000061988831,2023-04-09 00:19:19.741808,2023-04-09 00:19:24.552823,0 days 00:00:04.811015,0.096,0.06,128,0.0,0.001,Adam,PRUNED
26,0.5820000171661377,2023-04-09 00:13:20.202596,2023-04-09 00:13:26.516527,0 days 00:00:06.313931,0.077,0.038,32,0.2,0.001,SGD,PRUNED
71,0.5800000429153442,2023-04-09 00:19:31.797165,2023-04-09 00:19:36.423390,0 days 00:00:04.626225,0.053,0.011,64,0.1,0.001,Adam,PRUNED
74,0.550000011920929,2023-04-09 00:19:59.956622,2023-04-09 00:20:04.314531,0 days 00:00:04.357909,0.05,0.066,64,0.30000000000000004,0.001,Adam,PRUNED
39,0.5440000295639038,2023-04-09 00:15:13.783947,2023-04-09 00:15:17.456090,0 days 00:00:03.672143,0.028,0.0,128,0.5,0.01,SGD,PRUNED
22,0.5380000472068787,2023-04-09 00:12:30.805704,2023-04-09 00:13:06.309339,0 days 00:00:35.503635,0.078,0.07,32,0.2,0.001,SGD,COMPLETE
61,0.5260000228881836,2023-04-09 00:18:07.303041,2023-04-09 00:18:25.709806,0 days 00:00:18.406765,0.032,0.097,256,0.1,0.01,SGD,COMPLETE
80,0.5180000066757202,2023-04-09 00:20:33.640982,2023-04-09 00:20:38.213245,0 days 00:00:04.572263,0.036000000000000004,0.082,64,0.1,0.01,SGD,PRUNED
86,0.5020000338554382,2023-04-09 00:21:27.384784,2023-04-09 00:21:35.108862,0 days 00:00:07.724078,0.043000000000000003,0.022,32,0.1,0.01,SGD,PRUNED
